barnes, mi, 02.90, 66712, 2.88, 0.01, 0, 2461
espresso, mi, 05.27, 8220, 5.25, 0.02, 0, 174
z3, mi, 01.19, 71272, 1.18, 0.01, 0, 458
gs, mi, 01.17, 57476, 1.13, 0.03, 0, 1660
redis, mi, 4.357, 35112, 1.87, 0.32, 0, 8007
cfrac, mi, 06.37, 4508, 6.37, 0.00, 0, 184
leanN, mi, 25.62, 591256, 96.05, 1.07, 0, 200920
sed, mi, 01.74, 324400, 1.66, 0.07, 0, 402
barnes, mi, 02.85, 66836, 2.84, 0.01, 0, 2464
espresso, mi, 05.19, 8316, 5.16, 0.03, 0, 174
z3, mi, 01.20, 71076, 1.20, 0.00, 0, 455
gs, mi, 01.16, 57396, 1.12, 0.03, 0, 1657
redis, mi, 4.395, 35208, 1.88, 0.33, 0, 8001
cfrac, mi, 06.33, 4460, 6.33, 0.00, 0, 188
leanN, mi, 25.83, 587052, 98.11, 1.28, 0, 163240
sed, mi, 01.74, 326500, 1.65, 0.08, 0, 401
barnes, mi, 02.88, 66932, 2.86, 0.02, 0, 2462
espresso, mi, 05.17, 8328, 5.15, 0.01, 0, 176
z3, mi, 01.21, 71316, 1.19, 0.01, 0, 462
gs, mi, 01.17, 57272, 1.11, 0.05, 0, 1656
redis, mi, 4.294, 35128, 1.84, 0.31, 0, 8032
cfrac, mi, 06.33, 4568, 6.32, 0.00, 0, 186
leanN, mi, 25.89, 588932, 98.21, 1.16, 0, 165165
sed, mi, 01.73, 330532, 1.65, 0.08, 0, 405
barnes, mi, 02.85, 66912, 2.84, 0.00, 0, 2466
espresso, mi, 05.17, 8276, 5.14, 0.02, 0, 177
z3, mi, 01.19, 71344, 1.16, 0.02, 0, 460
gs, mi, 01.16, 57488, 1.12, 0.04, 0, 1652
redis, mi, 4.675, 35124, 1.81, 0.54, 0, 7996
cfrac, mi, 06.32, 4460, 6.31, 0.00, 0, 179
leanN, mi, 26.06, 592944, 99.54, 1.21, 0, 241980
sed, mi, 01.72, 326452, 1.63, 0.09, 0, 404
barnes, mi, 02.85, 66800, 2.84, 0.01, 0, 2464
espresso, mi, 05.16, 8228, 5.13, 0.02, 0, 176
z3, mi, 01.18, 71260, 1.16, 0.02, 0, 458
gs, mi, 01.15, 57376, 1.12, 0.03, 0, 1655
redis, mi, 4.314, 35176, 1.85, 0.31, 0, 8029
cfrac, mi, 06.52, 4588, 6.52, 0.00, 0, 185
leanN, mi, 25.77, 579000, 97.39, 1.21, 0, 226057
sed, mi, 01.73, 326428, 1.67, 0.06, 0, 403
barnes, mi, 02.84, 66972, 2.83, 0.01, 0, 2465
espresso, mi, 05.19, 8220, 5.17, 0.02, 0, 172
z3, mi, 01.18, 71236, 1.17, 0.01, 0, 458
gs, mi, 01.17, 57300, 1.15, 0.01, 0, 1658
redis, mi, 4.288, 35248, 1.74, 0.42, 0, 8036
cfrac, mi, 06.31, 4460, 6.30, 0.00, 0, 180
leanN, mi, 26.23, 583088, 100.11, 1.16, 2, 161724
sed, mi, 01.75, 324396, 1.69, 0.05, 0, 402
barnes, mi, 02.90, 66824, 2.87, 0.02, 0, 2463
espresso, mi, 05.17, 8224, 5.15, 0.01, 0, 176
z3, mi, 01.18, 71336, 1.16, 0.02, 0, 456
gs, mi, 01.15, 57368, 1.13, 0.02, 0, 1657
redis, mi, 4.308, 35204, 1.77, 0.39, 0, 8019
cfrac, mi, 06.29, 4480, 6.29, 0.00, 0, 183
leanN, mi, 26.14, 585036, 100.89, 1.35, 0, 185556
sed, mi, 01.75, 326444, 1.66, 0.08, 0, 398
barnes, mi, 02.88, 66716, 2.86, 0.02, 0, 2461
espresso, mi, 05.20, 8260, 5.18, 0.01, 0, 174
z3, mi, 01.19, 71380, 1.17, 0.02, 0, 459
gs, mi, 01.16, 57188, 1.14, 0.02, 0, 1655
redis, mi, 4.340, 35184, 1.79, 0.39, 0, 8010
cfrac, mi, 06.33, 4496, 6.33, 0.00, 0, 186
leanN, mi, 26.72, 595404, 103.20, 1.25, 3, 232568
sed, mi, 01.75, 326400, 1.67, 0.07, 0, 404
barnes, mi, 02.86, 66764, 2.85, 0.01, 0, 2461
